text,emotion,updated_emotion
Riding rollercoasters this weekend,anxious,negative
I got into a big argument with my mom. She said that we really needed to get a job but we were already looking for jobs.,angry,very negative
I get so angry when I lose any game.,angry,very negative
i cant wait to go on my trip next week,anticipating,positive
It's expected that I will get a raise ,surprised,positive
I had to get a certain grade on a test not to fail calculus and I had a bad feeling that I just barely didn't pass. Well that's exactly what happened and I knew it.,anticipating,positive
Some days I feel so alone as if I'm the only person on this earth.,lonely,negative
no one came to my birthday,sad,negative
I really love my dog. He is so dependent on me for nurturing.,caring,positive
feeling confident about an upcoming test.,prepared,positive
It was really fun to see my niece be born. I really had no idea what I was in for when I went to the hospital at first. I think it was a really educational experience. ,surprised,positive
I'm ready to tell my wife's parent how much I love them,prepared,positive
"One of my friends was doing really bad in school at first. After he realized that he couldn't do that, he turned his grades around and did almost better than me!",proud,very positive
I was shocked when i got invited on a random trip,surprised,positive
Romance movies bring me back to my youthful days. ,sentimental,positive
I always have this feeling that someone or something is always behind me.,afraid,very negative
My son crashed my car.,angry,very negative
Waiting for the weekend,anticipating,positive
I was happy to get invited on a trip for next week,joyful,very positive
The Hotel room had roaches,disgusted,very negative
"On my tenth birthday, I was expecting to receive a new bike. However, all I got was a lousy pair of socks ",disappointed,negative
my girl has been promoted im excited,joyful,very positive
"One time I started getting really weird texts from a guy. He had pictures of outside my house and it scared me, but it was just a friend pranking me.",terrified,very negative
I have faith that one day things will all work out.,faithful,positive
Mother has done will,grateful,very positive
I cheated on a test last semester,guilty,very negative
I have hope for the human race even though its in its nature to destroy itself.,hopeful,very positive
My father bought me a new car which I had not expected.,surprised,positive
"I saw this scary movie the other day, and it completely freaked me out!",afraid,very negative
I'm very angry about my boss attitude to work,angry,very negative
No one came to my birthday.,lonely,negative
I am sure i will pass my calc test coming up,confident,very positive
I walked into my physics exam after studying for it for days. I was so hyped that I was gonna get an A on it.,confident,very positive
eating my favorite meal makes me happy.,content,positive
I stopped trusting people because of how I was treated last time I borrowed money out,trusting,very positive
"I'm going back to college in a few weeks. I get my own room in this really new, nice place so I'm really looking forward to it.",excited,very positive
"I went to my brother's birthday party, and I was remembering the good old days.",sentimental,positive
birth of my first child,afraid,very negative
My nephew made me an unexpected birthday gift! I was really happy about that.,surprised,positive
My cat threw up on the floor today,disgusted,very negative
I've really wanted a car for a long time. My friend on the other hand has three of them and it makes me envious.,jealous,negative
I really wanted to get an A in this computer science class that I took. Instead I got a B but that's good enough for me.,content,positive
I get embarrassed very easily.,embarrassed,negative
I feel guilty as a parent because I don't like to part in a lot of my children's school activities. ,guilty,very negative
I felt happy to be nominated for an award,proud,very positive
i had a strong feeling that i will get well,hopeful,very positive
My friend passed his class last semester,proud,very positive
This whole summer all me and my friends have done is get high and eat fast food. We got these McDonald's coins so I'm gonna keep one and remember this great summer.,sentimental,positive
I am really looking forward to my new job.,excited,very positive
I really wanted this thing from a store when I was little. Because of this I stole it and I felt really bad about it,guilty,very negative
I am a unhappy that  there is nothing I could do to help,afraid,very negative
I am so thrilled about the new shark movie coming out. I got early tickets!,excited,very positive
"Seeing my friend's life makes me really envious sometimes. He has a job usually, he has a girlfriend, and he has tons of friends which I don't really have any of.",jealous,negative
I stubbed my toe today,annoyed,negative
I feel jealous of my spouse,jealous,negative
I knew nearly no one in college my first year,lonely,negative
I watched a movie yesterday. It was a horror movie. I just petrified for an hour.,terrified,very negative
ready to get the promotion,confident,very positive
I once had the best time at the play playing with my children!,joyful,very positive
I prayed at the table for our food.,grateful,very positive
"Back in senior year of high school, my brother went to college and my mom worked a lot so I was the only one in the house a lot. It was a pretty sad time.",lonely,negative
I was so hurt when I heard my friend's puppy was stolen. I couldn't believe it.,devastated,very negative
I am overcome by joy when I'm with my son's,joyful,very positive
I really wanted my last relationship to work out. But instead she basically just ghosted me and moved on.,devastated,very negative
I accidentally took the wrong amount of change from the cashier. I didn't realize it until I got home.,guilty,very negative
I have to go back to school and leave all my friends in 2 weeks,sad,negative
I let my cousin babysit my infant.,trusting,very positive
I get irritated anytime I see people treat animals badly,disgusted,very negative
Back in high school I tried really hard. I ended with a 3.8 GPA and I was really happy with myself.,proud,very positive
when i mistakenly hit someone into the gutter with a car that caused him to miss his interview,guilty,very negative
"Next week, I am getting my new car. I can't wait to have it.",excited,very positive
I was really happy to the how the wrist watch I got my wife looked on her,impressed,very positive
My girlfriend broke up with me and told me that she wasn't ready for a relationship. I was so upset when I saw that she had a boyfriend only days after she broke up with me anyway.,disgusted,very negative
My sister gonna buy new laptop. It's my dream to buy it. I felt twinge of envy on her.,jealous,negative
I am too scared to go to the Halloween party. I might freak out at some of the costumes.,afraid,very negative
i had no roommate freshman year of college,lonely,negative
I got caught stealing candy from a store.,ashamed,very negative
i fell and heard a snap in my leg.,afraid,very negative
My pants had a tear,embarrassed,negative
Christmas is coming I can't wait for the joyous celebrations ahead,joyful,very positive
Sometimes I feel bad for other students as they cannot afford college while my parents are paying my tuition in full.,guilty,very negative
I feel disgusted when I see or smell any form of thing with bad odour.,disgusted,very negative
"My girlfriend broke up with me and I was pretty okay with that, since she said she wasn't ready for it. Then I saw she had a boyfriend right after that so she really made me upset.",disgusted,very negative
applying for a new job,hopeful,very positive
I was surprised one day I scratched a lotto ticket to find out I had won £100.,surprised,positive
A truck cut me off from my exit on the highway.,annoyed,negative
I really trusted this girl that I was dating and I shouldn't have. She was so nice that I couldn't help but trust her for the whole time.,trusting,very positive
I am looking forward to my job interview. I know I will get it.,confident,very positive
I'm somebody that needs to always have everything organised and prepared.,prepared,positive
My friend got a new car yesterday which i have been saving up for years.,jealous,negative
I thought i got a job but didnt,disappointed,negative
Uni is starting up soon and im nervous,anxious,negative
I know that my money is safe with the banks,trusting,very positive
I really wanted to get an A in this one engineering class that I was in. Instead I got a C and felt quite bad about it.,disappointed,negative
Some guy who I saw homeless now makes 500k a year.,impressed,very positive
I can't sleep when I'm anticipating a big event or trip thats coming up.,anticipating,positive
"I could not believe that my mom gave my sister her favorite necklace, it is not fair!",jealous,negative
I sit by myself at lunch every day.,lonely,negative
My subordinates refused to obey simple work instructions,disgusted,very negative
My son have got his engineering diploma last week. I am so happy.,joyful,very positive
i saw my ex at the mall yesterday.,nostalgic,positive
I keep disconnecting from my internet,annoyed,negative
I feel proud of myself when I reach a new milestone. ,proud,very positive
i knew id pass the test,confident,very positive
I find it hard to be trusting of people.,trusting,very positive
I was on a trip and fell asleep while driving. When I woke up there was an 18 wheeler stopped in front of me.,afraid,very negative
"The way interest rates are these days, i'm so scared to go get a car loan",afraid,very negative
Small talk just annoys me.,annoyed,negative
I was pretty sad when my friend canceled on me last weekend. I was looking forward to hanging out,disappointed,negative
I don't feel that people are very trust worthy. ,trusting,very positive
I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.,trusting,very positive
I let my coworker help me on a secret project.,trusting,very positive
My sister bought tickets for my Mom and I to go to a concert. I wasn't expecting this but was quite pleased,surprised,positive
School starts back up next month and I am looking forward to it.,excited,very positive
I just knew I was going to land my job. I was prepared in the interview,confident,very positive
There was an important meeting today at work and on the way there my tire popped,furious,very negative
"At work, the men restroom was flooded because of a clogged toilet. It was so bad to see. I wanted throw up.",disgusted,very negative
I was going through some old childhood photos.,sentimental,positive
I was pretty ashamed when my mom got arrested.,embarrassed,negative
How can I trust again when I have ben cheated on thrice?,trusting,very positive
After I moved out of state I lost contact with a very good friend. When they tried to reconnect I felt bad about not staying in touch.,ashamed,very negative
I could not wait to go to the amusement park a few weeks ago,anticipating,positive
"Last week, I saw a toddler taking dirt from the floor and putting it in his month. His mom was not paying attention. It is so bad to see.",disgusted,very negative
I was surprised when my brother got me a present last week. It was nice,surprised,positive
Reading about the World Wars makes me feel so many emotions.,sentimental,positive
I miss the time when thing were less expensive like house.,nostalgic,positive
I was pretty mad when I got fired last year.,angry,very negative
I opened my front door and there was an unexpected package... it was a birthday gift from my mom that I was not expecting!,surprised,positive
I could not wait to go see a movie last week with friends. I needed it,anticipating,positive
I have an exam and cant help but feel something bad will happen.,anxious,negative
I have a toothache.,annoyed,negative
I gifted a new laptop to my dad. I feel satisfied and glad now.,content,positive
I was offered a job and wasn't sure if I should take it or not. There were a lot of variables in play.,apprehensive,negative
I was very impressed with a speaker I heard at work last week. He really got to me,impressed,very positive
The food at the restaurant had a bug in it.,disgusted,very negative
I was trapped in a forest for two days.,afraid,very negative
I was pretty sad when my grandma died. It was very random,devastated,very negative
My uncle was in the hospital.,sentimental,positive
I was happy when my brother got a new job last year. He deserved it,proud,very positive
My neighbor hit my dog backing out of her driveway!,furious,very negative
I feel bad. I failed my exams. I was so prepared. I don't understand what happened.,sad,negative
I'm thankful for my lecturer. I received a reward for my project which is done with the help of my lecturer.,grateful,very positive
I lied to my girlfriend. I feel bad,guilty,very negative
I got a new haircut and shaved my beard.,confident,very positive
"At the contruction site where I am working, we are extorted by a gang. We are so afraid.",terrified,very negative
I was shocked when I saw my friend out and about. I had not seen them in awhile,surprised,positive
I have 2 kids and I can't even tell you how nervous and excited I was coming up to the last few weeks before they were due. There's no real words to explain it because it's just so amazing to know you'll be meeting your baby for the first time!,anticipating,positive
My uncle has been in the hospital for many days.,sad,negative
I really believe the man I like will ask me on a date soon.,hopeful,very positive
I cannot wait for the weekend. I get to see an old friend,excited,very positive
I felt bad when I saw my first pay cheque,disappointed,negative
I farted in front of a passenger.,embarrassed,negative
"Last week, a guy tried to robbed me. I was able to fight him and make run away. I am so proud about myself.",proud,very positive
I was cut off in traffic twice.,annoyed,negative
I like the voting system in Canada,confident,very positive
I watched a horror movie alone.,terrified,very negative
I found a large iguana at my door step and I almost passed out!,terrified,very negative
I was surprised when my friend threw me a part last week. It was random,surprised,positive
Day after tomorrow we planned to go a family trip. I'm anxious to go for it. ,excited,very positive
I feel so prepared for my driving test. I am pretty sure that I will pass.,confident,very positive
"I had a large, delicious meal today.",content,positive
I was sad last week when my brother canceled on me. I was looking forward to seeing him,disappointed,negative
I am thankful to have some time to relax today,content,positive
I felt so many emotions as I achieved first place in the race.,sentimental,positive
I was shocked when I got a letter in the mail. It was from an old friend,surprised,positive
Drinking coffee in the morning.,content,positive
How can I not be when she is only 14 years old,annoyed,negative
I just knew it was going to be a good weekend. I had a feeling,confident,very positive
"Yesterday, someone has stolen my bike. It was in front of my home with a lock.",furious,very negative
I got caught by my dad when I take money from his wallet. I feel guilty for it.,ashamed,very negative
I had an issue with my credit card and they put me on hold for 45 min before I even spoke to someone!,annoyed,negative
I'm not able to go to Disney World.,disappointed,negative
Last night I found an old playlist with my old favorite high school music,nostalgic,positive
 am pretty sure they are going to expand our hours at work.,confident,very positive
I applied to get a new passport. They have lost my paperwork.,angry,very negative
I was mad when I got fired. I did nothing wrong,furious,very negative
I taught to one my neighbor's son. He passed the exam and came to my home to thank me. ,proud,very positive
I cared last week for my girlfriend. She was sick,caring,positive
I am so jealous of Trump. I don't understand how someone not that smart can be so rich.,jealous,negative
I was so happy to see my baby,joyful,very positive
"I picked up 2 part time jobs on top of my full time job, I am gaining momentum to get our house in the future",hopeful,very positive
I had to care for my friend last week. He was going through a breakup,caring,positive
 I can’t wait until my nephew gets to come over.,anticipating,positive
For tax season this year I had planned ahead of time and was ready.,prepared,positive
I yelled at my mom.,guilty,very negative
I was pretty sad when a girl canceled out date last week. I was looking forward to it,disappointed,negative
My son had good grades at school,proud,very positive
I was getting ready to give a big presentation at work.  I was really prepared but I still felt super nervous about it.  ,anxious,negative
I felt envious over a friend last weekend. He bought a new home,jealous,negative
"I am having some issues with my manager. I have the feeling that I getting fired by the end of this week,",anticipating,positive
i just finished an interview for a new job!  I an fairly certain I nailed it!,confident,very positive
I am nervous thinking about going on a date.,anxious,negative
I am so angry against my manager. I was expecting to go with him in work trip to New York but he went alone. I had him in high esteem before.,disappointed,negative
I knew my friend was going to be able to pick me up from work. He was trustworthy,trusting,very positive
I felt like this weekend was fine. I got to relax,content,positive
I was pretty sickened last week when I saw a dead animal on the road. It was a rabbit,disgusted,very negative
I woke up and I swear I heard footsteps in my house,afraid,very negative
my brother flushed my fish down the toilet for fun,angry,very negative
My voice was so loud that I made him shiver with fear,guilty,very negative
"I had my first date with my crush tomorrow, I wasnt nervous at all.",excited,very positive
My coworker stole my presentation idea and claimed it was his!,angry,very negative
"After all the extra credit and hard work, I still failed the class.",annoyed,negative
I felt bad while watching my sick father on the bed,sad,negative
I was mad when my boss yelled at me. I guess I was late,angry,very negative
I was pretty happy I got to hang out with friends this weekend. It had been awhile,excited,very positive
My daughter was taking part in a play at school. I rehearsed her lines with her a great deal. I knew she was ready to nail this performance.,confident,very positive
"Tomorrow, I have surgery. I am so afraid of it.",afraid,very negative
I was pretty envious over my girlfriend. She is on vacation,jealous,negative
I knew I was going to do well on my last test. I studied hard,prepared,positive
Me and my brother are inseparable .,trusting,very positive
I am so angry against Trump. He is started this tax war and now everything is increasing.,furious,very negative
I could not wait for the weekend. We were going kayaking,excited,very positive
when my daughter slept all night! ,surprised,positive
I was nervous when it storm last weekend. It rained hard,anxious,negative
Someone ran into my car.,disappointed,negative
I sure am glad that we live in a free country.,grateful,very positive
I felt happy when my brother gave me a present. I was grateful,grateful,very positive
"After a week of long practice, I managed to win the golf tournament I was preparing for!",joyful,very positive
when i forgot who someone was when they said hello ,embarrassed,negative
I was pretty lonely last weekend. I was sick and my friends were busy,lonely,negative
I was well prepared for the storm last weekend. I had good and drink,prepared,positive
I was deathly afraid of spiders. I moved into a house that had every kind of spider you can imagine.,terrified,very negative
when i was getting ready to move and take a drive across the usa,anxious,negative
I knew I was going to ace my test over the weekend. I studied hard,prepared,positive
I proposed to a girl last week. She accepted my proposal and we're glad to start our journey of love.,joyful,very positive
My car broke down yesterday and it had to be dropped off at the mechanic.  I am really nervous about how much it will cost to fix it!,apprehensive,negative
I am hoping to join the Army,anticipating,positive
"I was devestated when my grandmother passed away, I was not prepared to deal with that",devastated,very negative
when my house caught on fire. ,devastated,very negative
I found a hair in my food while eating dinner last night.,disgusted,very negative
I was shocked when my parents bought me a new car for graduation,surprised,positive
My neighbor is taking my mail! I am so mad I am going to catch him.,angry,very negative
I received a promotion.,joyful,very positive
when it was my dads anniversary of death every year in july ,sad,negative
I was really disappointed to hear that the woods near my childhood home had been razed to build new homes.,sad,negative
I was surprised when I was given a car for my graduation gift ,surprised,positive
when my child lied to me ,disappointed,negative
I am really pumped up!  I get to go horse riding this weekend with my family!,excited,very positive
I fed up with the decision made by my spouse. He wants to break up our relationship.,annoyed,negative
My co-worker just baught a ford raptor,jealous,negative
"I am content with my life right now, I have a girlfriend, good friends, and a great family",content,positive
A character that I loved was killed off of one of my shows that I always watch. I cried like a baby.,sad,negative
Some one I lent money to has refuse to back my money,annoyed,negative
"There's a girl I work with who CONSTANTLY has things (big things!) just given to her for no reason! Last week, someone GAVE her a car even though she had a good one already! That never happens to me",jealous,negative
Any time i let someone out in front of me in traffic and they don't wave i get angry.,angry,very negative
when i came across an old letter from high school ,sentimental,positive
"I was upset when my parents told me we would be moving, we went all the way to florida",sad,negative
I made plans for my dream vacation. I had been looking forward to this trip for over two years. I broke my leg and was unable to make the trip.,devastated,very negative
My friends canceled my birthday dinner.,disappointed,negative
when i graduated because no one in my family did ,proud,very positive
I am looking forward to my paycheck on Friday!  I am expecting a bonus!,anticipating,positive
"I am scared about growing up, it is sort of unnerving",anxious,negative
I ordered takeout yesterday and I got home and found out half my food was missing.,furious,very negative
"I am sort of scared of growing up, it can be daunting",afraid,very negative
I can't get pregnant but all my friends are having kids.,jealous,negative
The meal that I had at the restaurant was amazing. The chef did an excellent job.,impressed,very positive
for school to start this year for my children ,prepared,positive
My next door neighbor is so inconsiderate!  He plays loud music until late almost every night!,annoyed,negative
I wasn't sure how much or how long it would take to fix my a/c.  It took the technician 15 minutes to fix it.,impressed,very positive
My friends are always here for me,grateful,very positive
when my son won a contest at school ,proud,very positive
I love Halloween and it's almost here. I can hardly wait.,excited,very positive
"I recently bought a truck.  I thought I checked everything, but when I got home, I was really disappointed to find there was no cruise control",disappointed,negative
My sister just had some test done and now we have to wait for the results.,anxious,negative
I had what felt like a great interview and I was waiting to hear back.,anticipating,positive
The haunted house down at the ocean is scary!,afraid,very negative
I cant wait for my daughters birthday in her new house. ,anxious,negative
I always enjoy driving my old truck as it reminds me of the old days.,nostalgic,positive
I am so glad I got cable again. The kids channels are giving me some peace and quiet,grateful,very positive
A fly landed in my coffee when the moment I walked out of my house.,disgusted,very negative
"When my little sister got pregnant, all I could think about was out childhood.  I remembered her as a little baby, and it seemed crazy she was going to have one of her own.",nostalgic,positive
My friend found out I shared a secret he told me.  I really feel embarrassed.,ashamed,very negative
"Sometimes I get emotional about my brothers, they are very important to me",sentimental,positive
When I got a promotion at work for my hard work ,proud,very positive
I have always been faithful and loyal to my girlfriend of almost 3 years,faithful,positive
I feel bad. I want to end a friendship of over ten years,ashamed,very negative
I am hoping the new super smash bros game will be really good when it comes out,hopeful,very positive
I had to pull guys off of a job to help another company out. Just to get there to work and find they werent ready for us.,annoyed,negative
I always go to the store for something specific and end up buying junk and forgetting the important thing,embarrassed,negative
when my parents praised my brother more than me ,jealous,negative
I found out my sister was finally able to get pregnant last week.,anxious,negative
I can't believe there are so any good shows on television,surprised,positive
Women's restrooms always look so dirty.,disgusted,very negative
"I always have the highest hopes for my boyfriend and his work. When he found out that they weren't going to give him a raise because he left early too many days, I was extremely disappointed. ",disappointed,negative
My neighbors kept me up all night with their music. I am so tired,annoyed,negative
My family and I went to the county fair last night and had a wonderful time.,joyful,very positive
My daughter ate all of my strawberry shortcake ice cream bars. I cant believe her,furious,very negative
I used to love playing pokemon with my friends what a great game that was as a kid,nostalgic,positive
to let my daughter go in the pool without her swimmies. ,apprehensive,negative
"I get emotional about my brothers sometimes, they are so important to me",sentimental,positive
I feel terrible for being nasty to the cashier at my checkout line today.,guilty,very negative
"i am glad i have a better car now, not the old one i had where i had to spend money to fix every 5 months",grateful,very positive
waiting for my house to sell ,anticipating,positive
"I am a bit scared of moving to a new place, I do not like change very much",afraid,very negative
I bought some off brand water.. It tastes so bad,disgusted,very negative
I was surprised at the quality of music at my county fair last night,impressed,very positive
Svhool is in two days. I have never been more happy,excited,very positive
The rally is here and the weather is beautiful!  Time to head out on the motorcycle.,joyful,very positive
my neighbor keeps borrowing my shopvac and never returns it on time,annoyed,negative
I really don't like a judgmental person. It irks me,angry,very negative
I don't think I should drive my car again until I get new brakes.,apprehensive,negative
"I interviewed for a new job but, didnt get an offer.",disappointed,negative
My frien with back with her ex. I think its going to end badly.,afraid,very negative
I can't believe my friend worked her way up to head chef. We started as servers together,impressed,very positive
"i love my dogs, i make sure i take good care of them first before anything or anyone else",caring,positive
"I'm almost ready to get into a more peaceful mode, I hope.",content,positive
I remember the good old days when people had face to face interactions,nostalgic,positive
I was really shocked when my parents bought me a car for my graduation present,surprised,positive
i hate when my friend speeds down the interstate for no reason whatsoever,afraid,very negative
I feel bad for those who cant afford the necessities in life.,caring,positive
I am killing it a work. I am going to be promoted in no time,confident,very positive
I ordered $50 worth of food to be delivered and it was all wrong when the guy delivered it! ,annoyed,negative
I get depressed when I run out of dr pepper. It is my coffee,sad,negative
I am really hype for the upcoming super smash bros game in december,excited,very positive
I poured way to much vodka in my drink last night. I gagged u front of everyone.,embarrassed,negative
I was hurt when my grandmother passed away a few years ago,sad,negative
"Robin williams was my hero, still so sad he passed",sad,negative
My noyfriend made us breakfast for the first time. It was terrible. He ruined my food,disgusted,very negative
"i trust my wife a lot, i believe a good woman is so hard to find",trusting,very positive
I am so happy my boyfriend and I got back together. We are going to get married. I just know it,grateful,very positive
"I got asked to go on a cruise but, I'm not sure if I should.",apprehensive,negative
I ate McDonalds in the car the other day because I didn't buy my kids any,guilty,very negative
So I have this neighbor who lives down the street who walks her dog without a leash. It is so annoying and its some kind of pit mix dog and it scares me that she has him off leash. I also found poop in my yard and I'm prestty sure it was from that dog! ugh!,disgusted,very negative
I was shocked to walk upon a snake a few days ago in my yard.,surprised,positive
I keep my kids on all my screensavers. They motivate me,sentimental,positive
I remember eating at my ex's moms for the first time. Everything was awful. I couldnt swallow it,disgusted,very negative
i just hate when people drive slow in the left lane,angry,very negative
"so happy i can have a nice sofa now, i had the oldest sofa for years",grateful,very positive
I never really watch romantic movies but the life as we know it really surprised me,surprised,positive
"There was this lady who wrote in our local facebook group for my community, saying that she was on her last 3 diapers until Friday. We all pitched in and got her several boxes of diapers!",caring,positive
There was a mouse in my kitchen once. I am still afraid when I go in there,terrified,very negative
"When I first started working out at the gym, I dropped a weight on my foot. It was so embarrassing.",embarrassed,negative
My daughter failed an exam and tried to hide it from me. I am so upset,disappointed,negative
I am very happy with my girlfriend.Having her move in has been great.,content,positive
I am beyond mad!  My neighbor was mowing his lawn and my car got scratched from rocks kicked out by the mower!,furious,very negative
I never stick to my diet. I am such a failure,ashamed,very negative
I spilled some generic baby soap all over the carpet the other day and had to leave it for about an hour while I tended to a more urgent matter. I came back and it had bleached the carpet!!!,surprised,positive
Another one of my friends got engaged. What about me?,jealous,negative
Last night i woke up in the middle of the night and i couldn't move,terrified,very negative
My best friend is moving away. We have lived close to each other for 10 years,sad,negative
I had to work late yesterday.,angry,very negative
I'm working on being happier on a day to day basis.,joyful,very positive
I'm so glad it finally cooled down outside,grateful,very positive
There is always a fight when my family gets together. We aren't even having a big thanksgiving this year,devastated,very negative
"My niece made the cheerleading squad. It made me so happy to be her aunt, and so happy for her.",proud,very positive
I'm feeling good about how I've handled a lot of stress lately.,proud,very positive
"A close family member fell ill after being laid off from her job. I hated to see the difficulty she had supporting herself and trying to pay medical bills, so I had to help.",caring,positive
I arrived at work only to be told they had changed the schedule and I wasn't on it anymore.  I wasn't notified beforehand.,angry,very negative
ON the first day of Highschool I walked in with a huge smile on my face,excited,very positive
I felt ashamed when I stole a candy bar from the store,guilty,very negative
"so sad robin williams has passed away, i miss him",sad,negative
For a big meeting I practices hours and hours to get everything ready,prepared,positive
A friend was telling me about a good local barbecue place a while ago so I decided to stop by. I thoroughly enjoyed the selection of food and sauces.,content,positive
"There were 3 HUGE spiders in my house yesterday! I had to kill the first one, and then my husband killed the second and then when he was spraying (because I made him) he found a third!",afraid,very negative
"i have a beautiful home, might not be the biggest on the block but i'm happy with it",content,positive
I have always been appreciative of my parents for paying for my colleger,grateful,very positive
"I've been quite upset with my daughter's school as they've really let her down. To make a long story short. Since she's now the only surviving 8th grade strings student (violin), they've lumped her in with the regular band this year rather than let her play with the 7th grade strings class.",furious,very negative
I broke my coffee maker and now i can't make coffee,angry,very negative
I was underprepared for a job interview and I actually got the job still,surprised,positive
I caught my boyfriend messaging another girl. I was upset.,jealous,negative
"i have a huge bachelor party coming up, feeling nerouvs",anxious,negative
I walked into the office Friday to a birthday celebration for myself.  My birthday wasnt until Sunday.,surprised,positive
"So I'm trying to participate in a bodybuilding contest, i think i can win",confident,very positive
"One day I went to make a sandwich, mold was covering the entire loaf of bread",disgusted,very negative
I am patiently waiting to hear back from a recent job interview,hopeful,very positive
"Harvey weinstein was such a good studio , they just ruined their business and now there arent any good movies",sad,negative
I wish I could afford all the nice things others have around me,jealous,negative
I'm looking forward to next year when my finances will be so much better.,hopeful,very positive
A co-worker got a promotion over me,jealous,negative
I was having some relationship trouble. My friend stuck around and talked with me to make me feel better.,grateful,very positive
 it is always discouraging that you dont get what you deserve.. am i right,jealous,negative
I'm really ashamed that i've gotten so far behind on my bills.,embarrassed,negative
"i hate my cats pee on the carpet, the smell is so hard to remove",disappointed,negative
I lied to my wife,ashamed,very negative
I have a big interview scheduled for Friday. I am scared that I will not do well.,anxious,negative
I am feeling bad today. I stole some money from a missing wallet.,guilty,very negative
I keep a picture of my late great grandmother with me at all times,sentimental,positive
I was waiting to see if I had won the contest!,anticipating,positive
I'm terrified that I'm too late with something important.,afraid,very negative
My kids recently broke a very important item of mine and it made me so angry.,furious,very negative
I had been working lots over the past weeks but was finally able to go on a vacation to the Caribbean and get some relief from stress.,excited,very positive
I knew I put up the best score during the bowling contest,confident,very positive
I've been proud of the amount of work that I've done this year.,impressed,very positive
I am very positive about the democrats in November,hopeful,very positive
I accidentally sent a text about my friend to that friend instead of my cousin who I meant to send it to! It wasn't mean but it wasn't necessarily nice either. I feel bad.  ,guilty,very negative
I wanted a new dress. But my best friend bought the dress for herself.,jealous,negative
I felt a bit taken back to actually move out of my parents house,apprehensive,negative
I have been studying all week long. I have my test coming up soon.,prepared,positive
It was unexpected for me to have such a good time at the county fair last night.,surprised,positive
My brother has always wowed me with his ability to play baseball,impressed,very positive
When my best friend passed away I was devasted,sad,negative
I have always been considerate of my relationship with my wife,faithful,positive
Someone keyed my truck in a restaraunt parking lot last night,furious,very negative
I found out my group of friends went to the beach last weekend and did not invite me for some reason. I don't really know why though?,angry,very negative
My son took his first steps when he was nine months old.  He was so wobbly and cute.,proud,very positive
I remember when me and my brother used to play video games together,nostalgic,positive
I always reminisce about my childhood. We would always have a great time with friends.,nostalgic,positive
I've been upset at how hard I have to work for a living.,angry,very negative
"I used to take gymnastics lessons, where the instructor would spot or make sure that we didn't fall when we tried to do new tricks. Thank god they were there because I wouldnt be alive from hitting my head when falling!",trusting,very positive
I am scared of Trump.,apprehensive,negative
I'm aggravated that I don't earn more.,annoyed,negative
My little boy is starting Kindergarten in a few days,sad,negative
My neighbor lets his dog bark all night long and go to the bathroom in my yard.  I think it is inconsiderate of him.,annoyed,negative
My best friend came over and cleaned my entire house while I was sick with the flu. She is the best!,grateful,very positive
I have been working hard at my job. There is a promotion that I want to get!,faithful,positive
Traffic was unusually bad on the way to work this morning.,annoyed,negative
Somebody called me fat the other day,angry,very negative
I finally started losing weight after working out and I was hopeful I would continue to slim down,hopeful,very positive
I've always tried to have faith in my family.,trusting,very positive
I start a new job tomorrrow. I'm a little nervous.,anxious,negative
My boyfriend kept me up all night playing video games. ,annoyed,negative
I had a big final exam that I studied really hard for. I passed with an A and finished with a 4.0 for the semester. I couldnt be happier.,proud,very positive
I am waiting on my friend to come over. They are bringing me a medicine for my pet.,trusting,very positive
I'm looking forward to things getting better for me next year.,hopeful,very positive
"I was sitting on my couch the other day, when my two year old came out of nowhere, and threw my phone at my head.  It hurt really bad.",angry,very negative
I walked home one night. I caught my wife sleeping with my best friend,furious,very negative
I got a $20 gift card from the place I work at today.,surprised,positive
Today is the day for me to receive my paycheck. I am very excited!,joyful,very positive
"My cat won't leave me alone. I can't figure out what he wants, but he's so clingy",annoyed,negative
My childhood cat died while I was away at college.  He was 15 years old.,sad,negative
I spilled my drink all over the table and myself TWICE at a restaurant. ,embarrassed,negative
My boss passed me over for promotion and instead went with my coworker. All he does is take credit for other people's work so he doesn't deserve it,furious,very negative
I have a bunch of food in front of me and not even hungry anymore.,content,positive
I can't wait to be reunited with my familly,anxious,negative
when i took care of my brother when he broke his leg ,caring,positive
I'm very happy about my daughters' talents. They are both musicians.,proud,very positive
I am more than ready for my vacation to Europe.,prepared,positive
I unexpectedly ran into a snake while walking in my yard a few days ago.,surprised,positive
On Halloween I was nervous to go out at night. I was scared people were going to kidnap me,afraid,very negative
I was so happy for my son when he won the tennis state championship. He worked so hard,proud,very positive
When my sister kept winning at the game. ,jealous,negative
"All my friends got to go on vacation, but I'm stuck here doing work because I have a tight job deadline. It really gets me down",lonely,negative
I walked to school one day. When I walked in I had two different shoes on,embarrassed,negative
"My cable guy was supposed to show up yesterday to fix my cable.  He did not show up, and did not even bother to call",furious,very negative
I was sad when I didnt earn the promotion. I thought I was the more qualified candidate,disappointed,negative
One time I wanted some ice cream very bad. By the time I got to the ice cream store they were already closed so I didn't get any ice cream.,sad,negative
"When I got to my job, I was fired without cause. I was so angry and couldnt contain myself",furious,very negative
